"","Region.Label","Area","Sample.Label","Effort","object","distance","Study.Area"
"35","Montrave",0.332,"4",0.598,88,80,"Montrave 4"
"36","Montrave",0.332,"4",0.598,89,80,"Montrave 4"
"37","Montrave",0.332,"4",0.598,90,55,"Montrave 4"
"38","Montrave",0.332,"4",0.598,98,70,"Montrave 4"
"39","Montrave",0.332,"4",0.598,99,75,"Montrave 4"
"40","Montrave",0.332,"4",0.598,100,22,"Montrave 4"
"41","Montrave",0.332,"4",0.598,101,85,"Montrave 4"
"42","Montrave",0.332,"4",0.598,102,75,"Montrave 4"
"43","Montrave",0.332,"4",0.598,103,35,"Montrave 4"
"44","Montrave",0.332,"4",0.598,104,40,"Montrave 4"
"45","Montrave",0.332,"5",0.7,115,35,"Montrave 4"
"46","Montrave",0.332,"5",0.7,116,10,"Montrave 4"
"47","Montrave",0.332,"5",0.7,117,70,"Montrave 4"
"48","Montrave",0.332,"5",0.7,118,70,"Montrave 4"
"49","Montrave",0.332,"5",0.7,119,75,"Montrave 4"
"50","Montrave",0.332,"5",0.7,132,60,"Montrave 4"
"51","Montrave",0.332,"5",0.7,133,30,"Montrave 4"
"52","Montrave",0.332,"5",0.7,134,25,"Montrave 4"
"53","Montrave",0.332,"5",0.7,135,80,"Montrave 4"
"54","Montrave",0.332,"5",0.7,136,80,"Montrave 4"
"55","Montrave",0.332,"5",0.7,137,40,"Montrave 4"
"56","Montrave",0.332,"5",0.7,138,85,"Montrave 4"
"57","Montrave",0.332,"5",0.7,139,55,"Montrave 4"
"58","Montrave",0.332,"5",0.7,140,65,"Montrave 4"
"59","Montrave",0.332,"6",0.802,149,20,"Montrave 4"
"60","Montrave",0.332,"6",0.802,150,30,"Montrave 4"
"61","Montrave",0.332,"6",0.802,151,40,"Montrave 4"
"62","Montrave",0.332,"6",0.802,152,25,"Montrave 4"
"63","Montrave",0.332,"6",0.802,153,45,"Montrave 4"
"64","Montrave",0.332,"6",0.802,154,60,"Montrave 4"
"65","Montrave",0.332,"6",0.802,162,25,"Montrave 4"
"66","Montrave",0.332,"6",0.802,163,35,"Montrave 4"
"67","Montrave",0.332,"6",0.802,164,25,"Montrave 4"
"68","Montrave",0.332,"6",0.802,165,10,"Montrave 4"
"69","Montrave",0.332,"6",0.802,166,2,"Montrave 4"
"70","Montrave",0.332,"6",0.802,167,35,"Montrave 4"
"71","Montrave",0.332,"7",0.786,174,27,"Montrave 4"
"72","Montrave",0.332,"7",0.786,175,35,"Montrave 4"
"73","Montrave",0.332,"7",0.786,176,65,"Montrave 4"
"74","Montrave",0.332,"7",0.786,177,45,"Montrave 4"
"75","Montrave",0.332,"7",0.786,178,80,"Montrave 4"
"76","Montrave",0.332,"7",0.786,179,30,"Montrave 4"
"77","Montrave",0.332,"7",0.786,187,25,"Montrave 4"
"78","Montrave",0.332,"7",0.786,188,70,"Montrave 4"
"79","Montrave",0.332,"7",0.786,189,30,"Montrave 4"
"80","Montrave",0.332,"7",0.786,190,55,"Montrave 4"
"81","Montrave",0.332,"7",0.786,191,60,"Montrave 4"
"82","Montrave",0.332,"7",0.786,192,40,"Montrave 4"
"83","Montrave",0.332,"7",0.786,193,75,"Montrave 4"
"84","Montrave",0.332,"8",0.81,199,70,"Montrave 4"
"85","Montrave",0.332,"8",0.81,200,23,"Montrave 4"
"86","Montrave",0.332,"8",0.81,201,55,"Montrave 4"
"87","Montrave",0.332,"8",0.81,202,60,"Montrave 4"
"88","Montrave",0.332,"8",0.81,203,75,"Montrave 4"
"89","Montrave",0.332,"8",0.81,204,30,"Montrave 4"
"90","Montrave",0.332,"8",0.81,205,65,"Montrave 4"
"91","Montrave",0.332,"8",0.81,211,45,"Montrave 4"
"92","Montrave",0.332,"8",0.81,212,20,"Montrave 4"
"93","Montrave",0.332,"8",0.81,213,55,"Montrave 4"
"94","Montrave",0.332,"8",0.81,214,30,"Montrave 4"
"95","Montrave",0.332,"9",0.77,217,45,"Montrave 4"
"96","Montrave",0.332,"9",0.77,218,10,"Montrave 4"
"97","Montrave",0.332,"9",0.77,219,75,"Montrave 4"
"98","Montrave",0.332,"9",0.77,223,30,"Montrave 4"
"99","Montrave",0.332,"9",0.77,224,70,"Montrave 4"
"100","Montrave",0.332,"9",0.77,225,35,"Montrave 4"
"101","Montrave",0.332,"10",0.408,229,55,"Montrave 4"
"102","Montrave",0.332,"10",0.408,230,23,"Montrave 4"
"103","Montrave",0.332,"10",0.408,233,85,"Montrave 4"
"104","Montrave",0.332,"11",0.078,234,25,"Montrave 4"
"105","Montrave",0.332,"12",0.094,237,90,"Montrave 4"
"106","Montrave",0.332,"12",0.094,238,40,"Montrave 4"
"107","Montrave",0.332,"12",0.094,240,50,"Montrave 4"
"108","Montrave",0.332,"12",0.094,241,90,"Montrave 4"
"109","Montrave",0.332,"13",0.408,246,40,"Montrave 4"
"110","Montrave",0.332,"13",0.408,247,0,"Montrave 4"
"111","Montrave",0.332,"13",0.408,248,100,"Montrave 4"
"112","Montrave",0.332,"13",0.408,249,45,"Montrave 4"
"113","Montrave",0.332,"13",0.408,250,20,"Montrave 4"
"114","Montrave",0.332,"13",0.408,256,40,"Montrave 4"
"115","Montrave",0.332,"13",0.408,257,20,"Montrave 4"
"116","Montrave",0.332,"13",0.408,258,45,"Montrave 4"
"117","Montrave",0.332,"13",0.408,259,45,"Montrave 4"
"118","Montrave",0.332,"14",0.542,265,80,"Montrave 4"
"119","Montrave",0.332,"14",0.542,266,5,"Montrave 4"
"120","Montrave",0.332,"14",0.542,267,35,"Montrave 4"
"121","Montrave",0.332,"14",0.542,268,35,"Montrave 4"
"122","Montrave",0.332,"14",0.542,269,10,"Montrave 4"
"123","Montrave",0.332,"14",0.542,273,50,"Montrave 4"
"124","Montrave",0.332,"14",0.542,274,30,"Montrave 4"
"125","Montrave",0.332,"14",0.542,275,20,"Montrave 4"
"126","Montrave",0.332,"14",0.542,276,35,"Montrave 4"
"127","Montrave",0.332,"14",0.542,277,60,"Montrave 4"
"128","Montrave",0.332,"14",0.542,278,15,"Montrave 4"
"129","Montrave",0.332,"14",0.542,279,10,"Montrave 4"
"130","Montrave",0.332,"15",0.472,286,22,"Montrave 4"
"131","Montrave",0.332,"15",0.472,287,15,"Montrave 4"
"132","Montrave",0.332,"15",0.472,288,30,"Montrave 4"
"133","Montrave",0.332,"15",0.472,289,40,"Montrave 4"
"134","Montrave",0.332,"15",0.472,294,15,"Montrave 4"
"135","Montrave",0.332,"15",0.472,295,35,"Montrave 4"
"136","Montrave",0.332,"15",0.472,296,16,"Montrave 4"
"137","Montrave",0.332,"15",0.472,297,15,"Montrave 4"
"138","Montrave",0.332,"15",0.472,298,25,"Montrave 4"
"139","Montrave",0.332,"16",0.378,301,60,"Montrave 4"
"140","Montrave",0.332,"16",0.378,303,35,"Montrave 4"
"141","Montrave",0.332,"17",0.354,312,10,"Montrave 4"
"142","Montrave",0.332,"17",0.354,313,55,"Montrave 4"
"143","Montrave",0.332,"17",0.354,314,12,"Montrave 4"
"144","Montrave",0.332,"17",0.354,318,35,"Montrave 4"
"145","Montrave",0.332,"17",0.354,319,30,"Montrave 4"
"146","Montrave",0.332,"17",0.354,320,70,"Montrave 4"
"147","Montrave",0.332,"17",0.354,321,25,"Montrave 4"
"148","Montrave",0.332,"18",0.4,326,10,"Montrave 4"
"149","Montrave",0.332,"18",0.4,327,60,"Montrave 4"
"150","Montrave",0.332,"18",0.4,335,10,"Montrave 4"
"151","Montrave",0.332,"18",0.4,336,60,"Montrave 4"
"152","Montrave",0.332,"18",0.4,337,40,"Montrave 4"
"153","Montrave",0.332,"18",0.4,338,50,"Montrave 4"
"154","Montrave",0.332,"19",0.04,340,40,"Montrave 4"
"155","Montrave",0.332,"19",0.04,341,80,"Montrave 4"
"156","Montrave",0.332,"19",0.04,343,25,"Montrave 4"
