bay tl sex annuli age yearsold
IndianRiver     806 F 6  5 5.917
IndianRiver     342 F 1  0 0.917
IndianRiver     578 F 3  2 2.917
IndianRiver     723 F 7  6 6.917
IndianRiver     578 F 3  2 2.917
IndianRiver     611 F 3  2 2.917
IndianRiver     389 F 2  1 1.917
IndianRiver     511 F 2  1 1.917
IndianRiver     582 F 3  2 2.917
IndianRiver     442 F 2  1 1.917
IndianRiver     456 F 2  1 1.917
IndianRiver     412 F 2  1 1.917
IndianRiver     332 F 1  0 0.917
IndianRiver     445 F 2  1 1.917
IndianRiver     419 F 2  1 1.917
IndianRiver     349 F 2  1 1.920
IndianRiver     419 F 2  1 1.920
IndianRiver     565 F 4  3 3.920
IndianRiver     682 F 3  2 2.920
IndianRiver     421 F 2  1 1.920
IndianRiver     403 F 3  2 2.920
IndianRiver     348 F 3  2 2.920
IndianRiver     620 F 3  2 2.920
IndianRiver     630 F 5  4 4.920
IndianRiver     597 F 3  2 2.920
IndianRiver     660 F 4  3 3.920
IndianRiver     607 F 5  4 4.920
IndianRiver     527 F 2  1 1.920
IndianRiver     522 F 3  2 2.920
IndianRiver     709 F 5  4 4.920
CharlotteHarbor 562 F 4  3 3.958
CharlotteHarbor 547 F 4  3 3.958
CharlotteHarbor 490 F 3  2 2.958
CharlotteHarbor 604 F 5  4 4.958
CharlotteHarbor 602 F 5  4 4.958
CharlotteHarbor 555 F 5  4 4.958
CharlotteHarbor 479 F 2  1 1.958
CharlotteHarbor 450 F 2  1 1.958
CharlotteHarbor 510 F 4  3 3.958
CharlotteHarbor 460 F 3  2 2.958
CharlotteHarbor 589 F 5  4 4.958
CharlotteHarbor 430 F 3  2 2.958
CharlotteHarbor 388 F 2  1 1.958
CharlotteHarbor 478 F 3  2 2.958
CharlotteHarbor 450 F 3  2 2.958
CharlotteHarbor 574 F 5  4 4.958
CharlotteHarbor 529 F 5  4 4.958
CharlotteHarbor 500 F 3  2 2.958
CharlotteHarbor 480 F 3  2 2.958
CharlotteHarbor 588 F 4  3 3.958
CharlotteHarbor 452 F 2  1 1.958
CharlotteHarbor 444 F 2  1 1.958
CharlotteHarbor 464 F 3  2 2.958
CharlotteHarbor 577 F 4  3 3.958
CharlotteHarbor 498 F 3  2 2.958
CharlotteHarbor 404 F 2  1 1.958
CharlotteHarbor 354 F 2  1 1.958
CharlotteHarbor 465 F 3  2 2.958
CharlotteHarbor 425 F 3  2 2.958
CharlotteHarbor 415 F 2  1 1.958
CharlotteHarbor 380 F 2  1 1.958
CharlotteHarbor 366 F 2  1 1.958
CharlotteHarbor 410 F 3  2 2.958
CharlotteHarbor 405 F 2  1 1.958
CharlotteHarbor 398 F 2  1 1.958
CharlotteHarbor 372 F 2  1 1.958
CharlotteHarbor 382 F 2  1 1.958
CharlotteHarbor 370 F 2  1 1.958
CharlotteHarbor 582 F 4  3 3.958
CharlotteHarbor 394 F 2  1 1.958
CharlotteHarbor 387 F 2  1 1.958
CharlotteHarbor 374 F 2  1 1.958
CharlotteHarbor 335 F 1  0 0.958
CharlotteHarbor 327 F 2  1 1.958
CharlotteHarbor 320 F 2  1 1.958
CharlotteHarbor 313 F 1  0 0.958
CharlotteHarbor 312 F 1  0 0.958
CharlotteHarbor 310 F 1  0 0.958
CharlotteHarbor 335 F 1  0 0.958
CharlotteHarbor 297 F 1  0 0.958
CharlotteHarbor 325 F 1  0 0.958
CharlotteHarbor 317 F 1  0 0.958
CharlotteHarbor 349 F 2  1 1.958
CharlotteHarbor 505 F 4  3 3.958
CharlotteHarbor 506 F 4  3 3.958
CharlotteHarbor 572 F 4  3 3.958
CharlotteHarbor 535 F 4  3 3.958
CharlotteHarbor 543 F 4  3 3.958
CharlotteHarbor 623 F 5  4 4.958
IndianRiver     391 F 2  1 1.977
IndianRiver     360 F 2  1 1.977
IndianRiver     324 F 1  0 0.977
IndianRiver     342 F 2  1 1.977
IndianRiver     317 F 1  0 0.977
IndianRiver     322 F 1  0 0.977
IndianRiver     352 F 1  0 0.977
IndianRiver     312 F 1  0 0.977
IndianRiver     527 F 2  1 1.977
IndianRiver     432 F 2  1 1.977
IndianRiver     421 F 2  1 1.977
IndianRiver     420 F 2  1 1.977
IndianRiver     322 F 2  1 1.977
IndianRiver     354 F 2  1 1.977
IndianRiver     340 F 1  0 0.977
IndianRiver     456 F 2  1 1.977
IndianRiver     349 F 1  0 0.977
IndianRiver     370 F 2  1 1.977
IndianRiver     417 F 2  1 1.977
IndianRiver     638 F 4  3 3.977
IndianRiver     499 F 3  2 2.977
IndianRiver     445 F 2  1 1.977
IndianRiver     438 F 2  1 1.977
IndianRiver     470 F 2  1 1.977
IndianRiver     573 F 3  2 2.977
IndianRiver     470 F 2  1 1.977
IndianRiver     452 F 2  1 1.977
IndianRiver     470 F 2  1 1.977
IndianRiver     310 F 1  0 0.977
IndianRiver     336 F 1  0 0.977
IndianRiver     489 F 2  1 1.977
IndianRiver     507 F 2  1 1.977
IndianRiver     544 F 2  1 1.977
IndianRiver     679 F 5  4 4.977
IndianRiver     457 F 2  1 1.977
IndianRiver     442 F 2  1 1.977
IndianRiver     475 F 2  1 1.977
IndianRiver     449 F 2  1 1.977
IndianRiver     450 F 2  1 1.977
IndianRiver     444 F 2  1 1.977
IndianRiver     509 F 2  1 1.977
IndianRiver     506 F 2  1 1.977
IndianRiver     415 F 2  1 1.977
IndianRiver     384 F 2  1 1.977
IndianRiver     565 F 2  1 1.977
IndianRiver     302 F 1  0 0.977
IndianRiver     404 F 2  1 1.977
IndianRiver     395 F 2  1 1.977
IndianRiver     574 F 3  2 2.977
IndianRiver     513 F 2  1 1.977
IndianRiver     370 F 2  1 1.977
IndianRiver     378 F 2  1 1.977
IndianRiver     385 F 2  1 1.977
IndianRiver     362 F 2  1 1.977
IndianRiver     383 F 2  1 1.977
IndianRiver     366 F 2  1 1.977
IndianRiver     704 F 5  4 4.977
IndianRiver     363 F 2  1 1.977
IndianRiver     505 F 2  1 1.977
IndianRiver     515 F 2  1 1.977
IndianRiver     512 F 2  1 1.977
IndianRiver     570 F 3  2 2.977
CharlotteHarbor 358 F 3  3 3.052
CharlotteHarbor 380 F 3  3 3.052
CharlotteHarbor 486 F 5  5 5.052
CharlotteHarbor 395 F 2  2 2.052
CharlotteHarbor 422 F 2  2 2.052
CharlotteHarbor 424 F 3  3 3.052
CharlotteHarbor 524 F 5  5 5.052
CharlotteHarbor 407 F 2  2 2.052
CharlotteHarbor 426 F 2  2 2.052
CharlotteHarbor 322 F 2  2 2.052
CharlotteHarbor 330 F 2  2 2.052
CharlotteHarbor 379 F 2  2 2.052
CharlotteHarbor 308 F 1  1 1.052
CharlotteHarbor 478 F 4  4 4.052
CharlotteHarbor 360 F 3  3 3.052
CharlotteHarbor 367 F 2  2 2.052
CharlotteHarbor 352 F 2  2 2.052
CharlotteHarbor 371 F 2  2 2.052
CharlotteHarbor 397 F 3  3 3.052
CharlotteHarbor 364 F 2  2 2.052
CharlotteHarbor 404 F 2  2 2.052
CharlotteHarbor 412 F 3  3 3.052
CharlotteHarbor 320 F 2  2 2.052
CharlotteHarbor 414 F 2  2 2.052
CharlotteHarbor 435 F 2  2 2.052
CharlotteHarbor 305 F 1  1 1.052
CharlotteHarbor 410 F 3  3 3.052
CharlotteHarbor 332 F 2  2 2.052
CharlotteHarbor 475 F 4  4 4.052
CharlotteHarbor 331 F 2  2 2.052
CharlotteHarbor 584 F 4  4 4.052
CharlotteHarbor 319 F 1  1 1.052
CharlotteHarbor 300 F 1  1 1.052
CharlotteHarbor 476 F 3  3 3.052
CharlotteHarbor 451 F 4  4 4.052
CharlotteHarbor 400 F 2  2 2.052
CharlotteHarbor 482 F 3  3 3.052
CharlotteHarbor 342 F 2  2 2.052
CharlotteHarbor 464 F 4  4 4.052
CharlotteHarbor 479 F 3  3 3.052
CharlotteHarbor 486 F 4  4 4.052
CharlotteHarbor 531 F 4  4 4.052
CharlotteHarbor 514 F 4  4 4.052
CharlotteHarbor 295 F 1  1 1.052
CharlotteHarbor 458 F 4  4 4.052
CharlotteHarbor 456 F 4  4 4.052
CharlotteHarbor 297 F 1  1 1.052
CharlotteHarbor 530 F 3  3 3.052
CharlotteHarbor 562 F 4  4 4.052
CharlotteHarbor 514 F 3  3 3.052
CharlotteHarbor 502 F 3  3 3.052
CharlotteHarbor 533 F 4  4 4.052
CharlotteHarbor 290 F 1  1 1.052
IndianRiver     367 F 1  1 1.090
IndianRiver     383 F 2  2 2.090
IndianRiver     342 F 1  1 1.090
IndianRiver     374 F 1  1 1.090
IndianRiver     355 F 2  2 2.090
IndianRiver     455 F 2  2 2.090
IndianRiver     362 F 1  1 1.090
IndianRiver     385 F 1  1 1.090
IndianRiver     348 F 1  1 1.090
IndianRiver     333 F 1  1 1.090
IndianRiver     375 F 1  1 1.090
IndianRiver     346 F 1  1 1.090
IndianRiver     358 F 1  1 1.090
IndianRiver     350 F 1  1 1.090
IndianRiver     364 F 1  1 1.090
IndianRiver     325 F 1  1 1.090
IndianRiver     445 F 2  2 2.090
IndianRiver     332 F 1  1 1.090
IndianRiver     342 F 1  1 1.090
IndianRiver     335 F 1  1 1.090
IndianRiver     334 F 1  1 1.090
IndianRiver     332 F 1  1 1.090
IndianRiver     412 F 1  1 1.090
IndianRiver     425 F 2  2 2.090
IndianRiver     401 F 2  2 2.090
IndianRiver     422 F 2  2 2.090
IndianRiver     448 F 3  3 3.090
IndianRiver     442 F 2  2 2.090
IndianRiver     504 F 2  2 2.090
IndianRiver     466 F 2  2 2.090
IndianRiver     528 F 2  2 2.090
IndianRiver     522 F 2  2 2.090
IndianRiver     512 F 2  2 2.090
IndianRiver     422 F 2  2 2.090
IndianRiver     434 F 2  2 2.090
IndianRiver     471 F 2  2 2.090
IndianRiver     369 F 1  1 1.090
IndianRiver     412 F 2  2 2.090
IndianRiver     574 F 3  3 3.090
IndianRiver     472 F 2  2 2.090
IndianRiver     501 F 2  2 2.090
IndianRiver     535 F 2  2 2.090
IndianRiver     596 F 4  4 4.090
IndianRiver     724 F 4  4 4.090
IndianRiver     666 F 3  3 3.090
IndianRiver     519 F 2  2 2.090
IndianRiver     470 F 2  2 2.090
CharlotteHarbor 403 F 2  2 2.164
CharlotteHarbor 403 F 2  2 2.164
CharlotteHarbor 399 F 1  1 1.164
CharlotteHarbor 372 F 2  2 2.164
CharlotteHarbor 464 F 2  2 2.164
CharlotteHarbor 422 F 2  2 2.164
CharlotteHarbor 415 F 1  1 1.164
CharlotteHarbor 501 F 3  3 3.164
CharlotteHarbor 359 F 1  1 1.164
CharlotteHarbor 427 F 2  2 2.164
CharlotteHarbor 466 F 3  3 3.164
CharlotteHarbor 450 F 2  2 2.164
CharlotteHarbor 393 F 2  2 2.164
CharlotteHarbor 471 F 2  2 2.164
CharlotteHarbor 399 F 2  2 2.164
CharlotteHarbor 418 F 2  2 2.164
CharlotteHarbor 396 F 2  2 2.164
CharlotteHarbor 397 F 2  2 2.164
CharlotteHarbor 453 F 2  2 2.164
CharlotteHarbor 368 F 2  2 2.164
CharlotteHarbor 423 F 1  1 1.164
CharlotteHarbor 423 F 2  2 2.164
CharlotteHarbor 483 F 3  3 3.164
CharlotteHarbor 544 F 3  3 3.164
CharlotteHarbor 582 F 4  4 4.164
CharlotteHarbor 436 F 2  2 2.164
CharlotteHarbor 387 F 2  2 2.164
CharlotteHarbor 415 F 2  2 2.164
CharlotteHarbor 474 F 2  2 2.164
CharlotteHarbor 599 F 4  4 4.164
CharlotteHarbor 614 F 8  8 8.164
CharlotteHarbor 377 F 1  1 1.164
CharlotteHarbor 472 F 3  3 3.164
CharlotteHarbor 303 F 1  1 1.164
CharlotteHarbor 513 F 3  3 3.164
CharlotteHarbor 554 F 4  4 4.164
CharlotteHarbor 502 F 2  2 2.164
CharlotteHarbor 452 F 2  2 2.164
CharlotteHarbor 489 F 4  4 4.164
CharlotteHarbor 345 F 1  1 1.164
CharlotteHarbor 315 F 1  1 1.164
CharlotteHarbor 316 F 1  1 1.164
CharlotteHarbor 312 F 1  1 1.164
CharlotteHarbor 330 F 1  1 1.164
CharlotteHarbor 323 F 1  1 1.164
CharlotteHarbor 321 F 1  1 1.164
CharlotteHarbor 302 F 1  1 1.164
CharlotteHarbor 298 F 1  1 1.164
CharlotteHarbor 502 F 3  3 3.164
CharlotteHarbor 462 F 2  2 2.164
CharlotteHarbor 564 F 5  5 5.164
CharlotteHarbor 535 F 5  5 5.164
CharlotteHarbor 502 F 3  3 3.164
CharlotteHarbor 654 F 5  5 5.164
CharlotteHarbor 642 F 7  7 7.164
CharlotteHarbor 537 F 5  5 5.164
CharlotteHarbor 569 F 4  4 4.164
CharlotteHarbor 510 F 2  2 2.164
CharlotteHarbor 514 F 3  3 3.164
CharlotteHarbor 523 F 3  3 3.164
IndianRiver     411 F 2  2 2.186
IndianRiver     464 F 2  2 2.186
IndianRiver     400 F 2  2 2.186
IndianRiver     365 F 1  1 1.186
IndianRiver     364 F 1  1 1.186
IndianRiver     396 F 1  1 1.186
IndianRiver     336 F 1  1 1.186
IndianRiver     360 F 1  1 1.186
IndianRiver     367 F 1  1 1.186
IndianRiver     361 F 1  1 1.186
IndianRiver     388 F 1  1 1.186
IndianRiver     417 F 1  1 1.186
IndianRiver     386 F 1  1 1.186
IndianRiver     411 F 1  1 1.186
IndianRiver     329 F 1  1 1.186
IndianRiver     367 F 1  1 1.186
IndianRiver     367 F 1  1 1.186
IndianRiver     475 F 2  2 2.186
IndianRiver     357 F 1  1 1.186
IndianRiver     331 F 1  1 1.186
IndianRiver     420 F 1  1 1.186
IndianRiver     341 F 1  1 1.186
IndianRiver     410 F 1  1 1.186
IndianRiver     410 F 1  1 1.186
IndianRiver     330 F 1  1 1.186
IndianRiver     326 F 1  1 1.186
