Lake	Date	Rep	Effort	Species	TL	TLe	Wt	Wte
ANN	1/4/02	1	20	LMB	345	13.58267717	691.6729976	1.524876124
ANN	1/4/02	1	20	LMB	345	13.58267717	614.0790837	1.35381103
ANN	1/4/02	1	20	LMB	347	13.66141732	558.5788677	1.231454143
ANN	1/4/02	1	20	LMB	350	13.77952756	526.2696135	1.160224515
ANN	1/4/02	1	20	LMB	355	13.97637795	593.9696313	1.309477329
ANN	1/4/02	1	20	LMB	461	18.1496063	1130.289945	2.491859818
ANN	1/4/02	1	20	LMB	589	23.18897638	2886.166346	6.362900049
ANN	1/4/02	2	20	LMB	108	4.251968504	16.94517183	0.037357665
ANN	1/4/02	2	20	LMB	121	4.763779528	23.61070852	0.05205264
ANN	1/4/02	2	20	LMB	137	5.393700787	41.66155401	0.091847895
ANN	1/4/02	2	20	LMB	142	5.590551181	36.86452287	0.081272264
ANN	1/4/02	2	20	LMB	147	5.787401575	25.96873232	0.057251187
ANN	1/4/02	2	20	LMB	147	5.787401575	28.68597952	0.063241684
ANN	1/4/02	2	20	LMB	193	7.598425197	76.6790692	0.16904821
ANN	1/4/02	2	20	LMB	217	8.543307087	94.58507981	0.208524159
ANN	1/4/02	2	20	LMB	222	8.74015748	203.4859003	0.448609086
ANN	1/4/02	2	20	LMB	226	8.897637795	142.9702677	0.315195112
ANN	1/4/02	2	20	LMB	227	8.937007874	151.464136	0.333920863
ANN	1/4/02	2	20	LMB	227	8.937007874	147.6833313	0.325585626
ANN	1/4/02	2	20	LMB	231	9.094488189	165.4516421	0.364757999
ANN	1/4/02	2	20	LMB	235	9.251968504	162.9755287	0.35929911
ANN	1/4/02	2	20	LMB	240	9.448818898	261.0656048	0.575550454
ANN	1/4/02	2	20	LMB	247	9.724409449	171.3622373	0.377788616
ANN	1/4/02	2	20	LMB	247	9.724409449	161.0574492	0.355070474
ANN	1/4/02	2	20	LMB	275	10.82677165	216.8959811	0.478173218
ANN	1/4/02	2	20	LMB	285	11.22047244	299.8281027	0.661007032
ANN	1/4/02	2	20	LMB	302	11.88976378	425.6111181	0.938310783
ANN	1/4/02	2	20	LMB	307	12.08661417	489.6015366	1.07938534
ANN	1/4/02	2	20	LMB	327	12.87401575	346.2605141	0.763372855
ANN	1/4/02	2	20	LMB	332	13.07086614	483.0246958	1.064885905
ANN	1/4/02	2	20	LMB	335	13.18897638	697.317568	1.537320257
ANN	1/4/02	2	20	LMB	354	13.93700787	717.0060751	1.580725933
ANN	1/4/02	2	20	LMB	361	14.21259843	713.0751068	1.572059642
ANN	1/4/02	2	20	LMB	536	21.1023622	1599.05309	3.525304423
ANN	1/4/02	3	20	LMB	141	5.551181102	31.78458822	0.070072939
ANN	1/4/02	3	20	LMB	154	6.062992126	52.50315324	0.115749502
ANN	1/4/02	3	20	LMB	156	6.141732283	36.15548886	0.079709114
ANN	1/4/02	3	20	LMB	160	6.299212598	50.84591625	0.112095924
ANN	1/4/02	3	20	LMB	178	7.007874016	58.44392109	0.128846637
ANN	1/4/02	3	20	LMB	181	7.125984252	38.2355559	0.084294871
ANN	1/4/02	3	20	LMB	184	7.244094488	67.38724843	0.148563276
ANN	1/4/02	3	20	LMB	191	7.519685039	81.07838655	0.178747033
ANN	1/4/02	3	20	LMB	219	8.622047244	147.7221085	0.325671115
ANN	1/4/02	3	20	LMB	222	8.74015748	147.9819866	0.326244047
ANN	1/4/02	3	20	LMB	243	9.566929134	182.9264865	0.403283391
ANN	1/4/02	3	20	LMB	256	10.07874016	233.7230328	0.515270473
ANN	1/4/02	3	20	LMB	309	12.16535433	338.5922304	0.746467203
ANN	1/4/02	3	20	LMB	316	12.44094488	434.4386427	0.95777212
ANN	1/4/02	3	20	LMB	365	14.37007874	365.1716749	0.805064778
ANN	1/4/02	3	20	LMB	372	14.64566929	968.872331	2.135995318
ANN	1/4/02	3	20	LMB	452	17.79527559	1152.363898	2.540524496
ANN	1/4/02	4	20	LMB	125	4.921259843	11.16029758	0.024604215
ANN	1/4/02	4	20	LMB	131	5.157480315	30.51065382	0.067264398
ANN	1/4/02	4	20	LMB	148	5.826771654	38.70589353	0.085331787
ANN	1/4/02	4	20	LMB	151	5.94488189	52.68809236	0.116157222
ANN	1/4/02	4	20	LMB	152	5.984251969	37.85210351	0.083449504
ANN	1/4/02	4	20	LMB	155	6.102362205	42.70152083	0.094140627
ANN	1/4/02	4	20	LMB	160	6.299212598	50.58855496	0.11152854
ANN	1/4/02	4	20	LMB	169	6.653543307	81.6394111	0.179983879
ANN	1/4/02	4	20	LMB	222	8.74015748	60.6992651	0.133818814
ANN	1/4/02	4	20	LMB	228	8.976377953	164.4593229	0.362570312
ANN	1/4/02	4	20	LMB	231	9.094488189	170.4252012	0.375722807
ANN	1/4/02	4	20	LMB	236	9.291338583	176.619571	0.389379039
ANN	1/4/02	4	20	LMB	240	9.448818898	220.3009773	0.48567994
ANN	1/4/02	4	20	LMB	242	9.527559055	233.9963949	0.515873132
ANN	1/4/02	4	20	LMB	245	9.645669291	232.8276832	0.513296567
ANN	1/4/02	4	20	LMB	298	11.73228346	524.9355938	1.157283509
ANN	1/4/02	4	20	LMB	322	12.67716535	480.5465432	1.05942252
ANN	1/4/02	4	20	LMB	336	13.22834646	588.4134423	1.297228043
ANN	1/4/02	4	20	LMB	344	13.54330709	679.616986	1.4982972
ANN	1/4/02	4	20	LMB	355	13.97637795	766.7706676	1.690437949
ANN	1/4/02	4	20	LMB	355	13.97637795	774.7836143	1.708103452
ANN	1/4/02	4	20	LMB	412	16.22047244	985.9588465	2.173664592
ANN	1/4/02	4	20	LMB	466	18.34645669	2502.703703	5.517510638
ANN	1/12/02	1	20	LMB	105	4.133858268	10.13912957	0.022352928
ANN	1/12/02	1	20	LMB	124	4.881889764	27.85711323	0.061414349
ANN	1/12/02	1	20	LMB	130	5.118110236	22.89009314	0.050463957
ANN	1/12/02	1	20	LMB	158	6.220472441	53.56964668	0.118100714
ANN	1/12/02	1	20	LMB	212	8.346456693	160.9252357	0.354778993
ANN	1/12/02	1	20	LMB	221	8.700787402	140.2443221	0.309185437
ANN	1/12/02	1	20	LMB	221	8.700787402	181.7753027	0.400745468
ANN	1/12/02	1	20	LMB	227	8.937007874	155.5237979	0.342870875
ANN	1/12/02	1	20	LMB	227	8.937007874	117.3960368	0.258813651
ANN	1/12/02	1	20	LMB	230	9.05511811	155.7384776	0.343344162
ANN	1/12/02	1	20	LMB	234	9.212598425	176.5329572	0.389188088
ANN	1/12/02	1	20	LMB	241	9.488188976	230.5604796	0.508298244
ANN	1/12/02	1	20	LMB	255	10.03937008	209.1147863	0.46101864
ANN	1/12/02	1	20	LMB	296	11.65354331	354.4850522	0.781504836
ANN	1/12/02	1	20	LMB	314	12.36220472	511.5539386	1.127782044
ANN	1/12/02	1	20	LMB	341	13.42519685	434.7481151	0.958454389
ANN	1/12/02	1	20	LMB	347	13.66141732	680.228223	1.499644745
ANN	1/12/02	1	20	LMB	347	13.66141732	470.5311063	1.037342287
ANN	1/12/02	1	20	LMB	370	14.56692913	551.3516409	1.215520855
ANN	1/12/02	2	20	LMB	129	5.078740157	27.22250686	0.060015283
ANN	1/12/02	2	20	LMB	133	5.236220472	34.74045103	0.076589493
ANN	1/12/02	2	20	LMB	141	5.551181102	46.86652295	0.103322874
ANN	1/12/02	2	20	LMB	150	5.905511811	48.07818803	0.105994135
ANN	1/12/02	2	20	LMB	215	8.464566929	124.8248004	0.275191251
ANN	1/12/02	2	20	LMB	228	8.976377953	155.888168	0.343674173
ANN	1/12/02	2	20	LMB	236	9.291338583	139.9322571	0.308497453
ANN	1/12/02	2	20	LMB	250	9.842519685	239.8455637	0.528768327
ANN	1/12/02	2	20	LMB	259	10.19685039	276.8100014	0.610260865
ANN	1/12/02	2	20	LMB	265	10.43307087	401.9676722	0.886185969
ANN	1/12/02	2	20	LMB	280	11.02362205	292.8841708	0.645698301
ANN	1/12/02	2	20	LMB	310	12.20472441	384.5365532	0.847756976
ANN	1/12/02	2	20	LMB	319	12.55905512	467.454856	1.030560325
ANN	1/12/02	2	20	LMB	433	17.04724409	1563.602723	3.447149835
ANN	1/12/02	3	20	LMB	158	6.220472441	47.96067244	0.105735058
ANN	1/12/02	3	20	LMB	163	6.417322835	52.57341207	0.115904396
ANN	1/12/02	3	20	LMB	218	8.582677165	117.2445354	0.258479648
ANN	1/12/02	3	20	LMB	224	8.818897638	118.7240203	0.26174135
ANN	1/12/02	3	20	LMB	237	9.330708661	183.2673944	0.404034963
ANN	1/12/02	3	20	LMB	237	9.330708661	173.8069089	0.383178188
ANN	1/12/02	3	20	LMB	240	9.448818898	151.2991378	0.333557105
ANN	1/12/02	3	20	LMB	268	10.5511811	266.4228774	0.587361204
ANN	1/12/02	3	20	LMB	283	11.14173228	309.9471485	0.683315683
ANN	1/12/02	3	20	LMB	288	11.33858268	223.7628758	0.493312111
ANN	1/12/02	3	20	LMB	307	12.08661417	507.3289743	1.118467603
ANN	1/12/02	3	20	LMB	338	13.30708661	648.6195097	1.429959543
ANN	1/12/02	3	20	LMB	360	14.17322835	664.2168669	1.464345789
ANN	1/12/02	3	20	LMB	390	15.35433071	848.255624	1.870081314
ANN	1/12/02	3	20	LMB	510	20.07874016	1819.598896	4.011524119
ANN	1/12/02	4	20	LMB	129	5.078740157	32.74029607	0.072179912
ANN	1/12/02	4	20	LMB	130	5.118110236	37.29539936	0.082222183
ANN	1/12/02	4	20	LMB	144	5.669291339	49.78196586	0.109750318
ANN	1/12/02	4	20	LMB	149	5.866141732	34.33683287	0.075699668
ANN	1/12/02	4	20	LMB	150	5.905511811	44.12866116	0.097286929
ANN	1/12/02	4	20	LMB	157	6.181102362	49.91252939	0.110038161
ANN	1/12/02	4	20	LMB	217	8.543307087	181.1348421	0.399333496
ANN	1/12/02	4	20	LMB	237	9.330708661	192.3809699	0.424126934
ANN	1/12/02	4	20	LMB	245	9.645669291	225.6243663	0.49741599
ANN	1/12/02	4	20	LMB	253	9.960629921	275.9950815	0.608464277
ANN	1/12/02	4	20	LMB	257	10.11811024	146.2104057	0.322338385
ANN	1/12/02	4	20	LMB	264	10.39370079	261.0939071	0.575612849
ANN	1/12/02	4	20	LMB	264	10.39370079	267.5954417	0.589946263
ANN	1/12/02	4	20	LMB	291	11.45669291	412.2829555	0.908927249
ANN	1/12/02	4	20	LMB	307	12.08661417	461.8582551	1.018221946
ANN	1/12/02	4	20	LMB	320	12.5984252	475.2480244	1.0477413
ANN	1/12/02	4	20	LMB	322	12.67716535	423.8477313	0.934423185
ANN	1/12/02	4	20	LMB	372	14.64566929	600.4321033	1.323724624
ANN	1/12/02	4	20	LMB	537	21.14173228	3128.327442	6.896773245
ANN	1/12/02	4	20	LMB	562	22.12598425	3133.102936	6.907301395
ANN	1/12/02	4	20	LMB	580	22.83464567	3376.858313	7.444689373
ANN	1/12/02	5	20	LMB	206	8.11023622	80.09497262	0.176578979
ANN	1/12/02	5	20	LMB	225	8.858267717	97.25458685	0.214409407
ANN	1/12/02	5	20	LMB	227	8.937007874	135.1342371	0.297919642
ANN	1/12/02	5	20	LMB	230	9.05511811	169.1474487	0.372905848
ANN	1/12/02	5	20	LMB	231	9.094488189	183.4544642	0.404447381
ANN	1/12/02	5	20	LMB	233	9.173228346	199.6614691	0.440177668
ANN	1/12/02	5	20	LMB	258	10.15748031	224.5830287	0.495120237
ANN	1/12/02	5	20	LMB	262	10.31496063	278.2595779	0.613456631
ANN	1/12/02	5	20	LMB	263	10.35433071	238.5234905	0.525853658
ANN	1/12/02	5	20	LMB	279	10.98425197	325.1737943	0.71688465
ANN	1/12/02	5	20	LMB	280	11.02362205	288.8391283	0.636780519
ANN	1/12/02	5	20	LMB	283	11.14173228	351.9807104	0.775983714
ANN	1/12/02	5	20	LMB	287	11.2992126	346.3093206	0.763480454
ANN	1/12/02	5	20	LMB	292	11.49606299	365.3942155	0.805555395
ANN	1/12/02	5	20	LMB	300	11.81102362	439.2698257	0.968423043
ANN	1/12/02	5	20	LMB	305	12.00787402	351.1711916	0.774199032
ANN	1/12/02	5	20	LMB	308	12.12598425	409.6421797	0.903105342
ANN	1/12/02	5	20	LMB	327	12.87401575	527.5265155	1.162995507
ANN	1/12/02	5	20	LMB	331	13.03149606	555.0249516	1.223619109
ANN	1/12/02	5	20	LMB	342	13.46456693	634.6208433	1.399097804
ANN	1/12/02	6	20	LMB	142	5.590551181	32.34071866	0.071298995
ANN	1/12/02	6	20	LMB	169	6.653543307	52.53875544	0.115827991
ANN	1/12/02	6	20	LMB	186	7.322834646	105.004634	0.231495316
ANN	1/12/02	6	20	LMB	224	8.818897638	153.505144	0.33842051
ANN	1/12/02	6	20	LMB	225	8.858267717	167.2604689	0.368745775
ANN	1/12/02	6	20	LMB	233	9.173228346	195.2019186	0.430346054
ANN	1/12/02	6	20	LMB	236	9.291338583	150.4944499	0.331783074
ANN	1/12/02	6	20	LMB	239	9.409448819	196.1206423	0.43237149
ANN	1/12/02	6	20	LMB	240	9.448818898	200.9749462	0.443073386
ANN	1/12/02	6	20	LMB	258	10.15748031	211.8156771	0.466973078
ANN	1/12/02	6	20	LMB	265	10.43307087	312.2612313	0.688417356
ANN	1/12/02	6	20	LMB	267	10.51181102	330.6196966	0.728890796
ANN	1/12/02	6	20	LMB	270	10.62992126	280.1450426	0.617613364
ANN	1/12/02	6	20	LMB	274	10.78740157	344.0876656	0.758582549
ANN	1/12/02	6	20	LMB	280	11.02362205	283.0256113	0.623963923
ANN	1/12/02	6	20	LMB	307	12.08661417	473.3336012	1.043520724
ANN	1/12/02	6	20	LMB	327	12.87401575	272.5303253	0.600825806
ANN	1/12/02	6	20	LMB	330	12.99212598	532.0575123	1.172984633
ANN	1/12/02	6	20	LMB	337	13.26771654	516.6168229	1.13894378
ANN	1/12/02	6	20	LMB	375	14.76377953	734.6618578	1.619650225
ANN	1/12/02	6	20	LMB	385	15.15748031	1135.418925	2.503167271
ANN	1/12/02	6	20	LMB	390	15.35433071	1281.795878	2.825872829
ANN	1/12/02	7	20	LMB	134	5.275590551	37.44189288	0.082545146
ANN	1/12/02	7	20	LMB	190	7.480314961	97.26445856	0.214431171
ANN	1/12/02	7	20	LMB	200	7.874015748	125.4989293	0.276677449
ANN	1/12/02	7	20	LMB	219	8.622047244	114.3415224	0.252079607
ANN	1/12/02	7	20	LMB	229	9.015748031	121.9945516	0.268951628
ANN	1/12/02	7	20	LMB	231	9.094488189	149.1400572	0.328797153
ANN	1/12/02	7	20	LMB	251	9.881889764	225.4076697	0.496938257
ANN	1/12/02	7	20	LMB	258	10.15748031	296.6239936	0.653943189
ANN	1/12/02	7	20	LMB	267	10.51181102	268.9717567	0.592980514
ANN	1/12/02	7	20	LMB	268	10.5511811	227.0383715	0.500533335
ANN	1/12/02	7	20	LMB	276	10.86614173	136.9844522	0.301998663
ANN	1/12/02	7	20	LMB	339	13.34645669	629.3183201	1.387407755
ANN	1/12/02	8	20	LMB	142	5.590551181	38.20265757	0.084222343
ANN	1/12/02	8	20	LMB	197	7.755905512	104.2113088	0.229746336
ANN	1/12/02	8	20	LMB	270	10.62992126	274.1842614	0.604472106
ANN	1/12/02	8	20	LMB	271	10.66929134	334.4275254	0.737285611
ANN	1/12/02	8	20	LMB	272	10.70866142	459.608847	1.013262856
ANN	1/12/02	8	20	LMB	300	11.81102362	495.4732389	1.092330212
ANN	1/12/02	8	20	LMB	304	11.96850394	253.4115152	0.558676095
ANN	1/12/02	8	20	LMB	320	12.5984252	410.3030725	0.90456236
ANN	1/12/02	8	20	LMB	354	13.93700787	802.2347976	1.768622879
ANN	1/12/02	9	20	LMB	156	6.141732283	28.49958993	0.062830766
ANN	1/12/02	9	20	LMB	177	6.968503937	70.02781227	0.154384715
ANN	1/12/02	9	20	LMB	183	7.204724409	71.76462452	0.158213727
ANN	1/12/02	9	20	LMB	196	7.716535433	90.04706567	0.198519562
ANN	1/12/02	9	20	LMB	231	9.094488189	153.8170567	0.33910816
ANN	1/12/02	9	20	LMB	232	9.133858268	194.2158223	0.428172086
ANN	1/12/02	9	20	LMB	255	10.03937008	157.5253532	0.347283544
ANN	1/12/02	9	20	LMB	265	10.43307087	394.8841744	0.870569549
ANN	1/12/02	9	20	LMB	271	10.66929134	230.65134	0.508498557
ANN	1/12/02	9	20	LMB	287	11.2992126	396.696608	0.874565276
ANN	1/12/02	9	20	LMB	298	11.73228346	429.8904141	0.947745005
ANN	1/12/02	9	20	LMB	316	12.44094488	445.5826952	0.982340521
ANN	1/12/02	9	20	LMB	355	13.97637795	714.9674814	1.576231609
ANN	1/12/02	9	20	LMB	390	15.35433071	1281.47967	2.82517571
ANN	1/12/02	9	20	LMB	490	19.29133858	1669.283422	3.680135617
ANN	1/12/02	9	20	LMB	560	22.04724409	2797.221894	6.166811332
ANN	1/12/02	10	20	LMB	142	5.590551181	27.58383533	0.060811875
ANN	1/12/02	10	20	LMB	152	5.984251969	41.75217839	0.092047688
ANN	1/12/02	10	20	LMB	160	6.299212598	47.3903737	0.104477766
ANN	1/12/02	10	20	LMB	163	6.417322835	33.44721803	0.073738406
ANN	1/12/02	10	20	LMB	171	6.732283465	52.4774848	0.115692913
ANN	1/12/02	10	20	LMB	177	6.968503937	73.65190963	0.162374473
ANN	1/12/02	10	20	LMB	191	7.519685039	76.77987337	0.169270444
ANN	1/12/02	10	20	LMB	237	9.330708661	201.0515789	0.443242332
ANN	1/12/02	10	20	LMB	258	10.15748031	336.5601022	0.741987133
ANN	1/12/02	10	20	LMB	291	11.45669291	271.8758953	0.599383036
ANN	1/12/02	10	20	LMB	307	12.08661417	451.7324963	0.995898496
ANN	1/12/02	10	20	LMB	307	12.08661417	301.857329	0.665480705
ANN	1/12/02	10	20	LMB	312	12.28346457	426.9435938	0.941248386
ANN	1/12/02	10	20	LMB	325	12.79527559	359.5098901	0.792582694
ANN	1/12/02	10	20	LMB	328	12.91338583	456.3952454	1.006178086
ANN	1/12/02	10	20	LMB	520	20.47244094	1979.276342	4.363552208
ANN	1/12/02	11	20	LMB	148	5.826771654	41.22500794	0.090885477
ANN	1/12/02	11	20	LMB	165	6.496062992	63.98204572	0.141056098
ANN	1/12/02	11	20	LMB	197	7.755905512	120.6512556	0.265990171
ANN	1/12/02	11	20	LMB	217	8.543307087	153.3352322	0.33804592
ANN	1/12/02	11	20	LMB	227	8.937007874	180.1639833	0.397193121
ANN	1/12/02	11	20	LMB	230	9.05511811	178.0320181	0.392492948
ANN	1/12/02	11	20	LMB	245	9.645669291	199.6034669	0.440049795
ANN	1/12/02	11	20	LMB	259	10.19685039	220.8558593	0.486903245
ANN	1/12/02	11	20	LMB	295	11.61417323	342.1212111	0.754247264
ANN	1/12/02	11	20	LMB	298	11.73228346	379.1205407	0.835816726
ANN	1/12/02	11	20	LMB	315	12.4015748	382.9777041	0.844320306
ANN	1/12/02	11	20	LMB	321	12.63779528	487.7916367	1.075395198
ANN	1/12/02	11	20	LMB	331	13.03149606	621.8165779	1.370869264
ANN	1/12/02	12	20	LMB	151	5.94488189	37.82195962	0.083383049
ANN	1/12/02	12	20	LMB	158	6.220472441	37.97152746	0.083712789
ANN	1/12/02	12	20	LMB	213	8.385826772	121.5339177	0.267936106
ANN	1/12/02	12	20	LMB	255	10.03937008	205.3742443	0.452772167
ANN	1/12/02	12	20	LMB	322	12.67716535	408.9831911	0.901652523
ANN	1/12/02	12	20	LMB	361	14.21259843	747.2637369	1.64743258
ANN	1/12/02	13	20	LMB	134	5.275590551	28.93029221	0.063780301
ANN	1/12/02	13	20	LMB	146	5.748031496	34.12091855	0.075223659
ANN	1/12/02	13	20	LMB	178	7.007874016	69.13997281	0.152427367
ANN	1/12/02	13	20	LMB	193	7.598425197	131.0468999	0.288908616
ANN	1/12/02	13	20	LMB	208	8.188976378	132.2406344	0.291540347
ANN	1/12/02	13	20	LMB	209	8.228346457	108.0793122	0.238273813
ANN	1/12/02	13	20	LMB	222	8.74015748	141.4621034	0.311870182
ANN	1/12/02	13	20	LMB	236	9.291338583	187.6353176	0.413664574
ANN	1/12/02	13	20	LMB	237	9.330708661	170.6990449	0.376326528
ANN	1/12/02	13	20	LMB	242	9.527559055	168.2524849	0.370932793
ANN	1/12/02	13	20	LMB	244	9.606299213	124.9742432	0.275520716
ANN	1/12/02	13	20	LMB	265	10.43307087	211.3670939	0.465984123
ANN	1/12/02	13	20	LMB	294	11.57480315	251.6445252	0.554780553
ANN	1/12/02	13	20	LMB	301	11.8503937	305.8611742	0.674307662
ANN	1/12/02	13	20	LMB	304	11.96850394	253.3380136	0.558514052
ANN	1/12/02	13	20	LMB	315	12.4015748	490.4339331	1.081220458
ANN	1/12/02	13	20	LMB	315	12.4015748	375.6832098	0.828238718
ANN	1/12/02	13	20	LMB	315	12.4015748	517.0534929	1.139906471
ANN	1/12/02	13	20	LMB	321	12.63779528	543.009673	1.197129985
ANN	1/12/02	13	20	LMB	331	13.03149606	556.4458457	1.22675164
ANN	1/12/02	13	20	LMB	334	13.1496063	628.9291245	1.386549726
ANN	1/12/02	13	20	LMB	335	13.18897638	523.8139442	1.154810698
ANN	1/12/02	13	20	LMB	343	13.50393701	565.3051422	1.246283023
ANN	1/12/02	13	20	LMB	350	13.77952756	634.1906596	1.398149412
ANN	1/12/02	13	20	LMB	352	13.85826772	672.9688877	1.483640669
ANN	1/12/02	13	20	LMB	366	14.40944882	774.1976879	1.706811707
ANN	1/12/02	13	20	LMB	585	23.03149606	2868.337102	6.323593341
ANN	1/12/02	14	20	LMB	122	4.803149606	15.56256398	0.03430954
ANN	1/12/02	14	20	LMB	124	4.881889764	20.5362225	0.045274567
ANN	1/12/02	14	20	LMB	125	4.921259843	17.39431957	0.038347865
ANN	1/12/02	14	20	LMB	134	5.275590551	27.06311469	0.059663884
ANN	1/12/02	14	20	LMB	139	5.472440945	39.2027177	0.086427096
ANN	1/12/02	14	20	LMB	139	5.472440945	21.81494789	0.04809367
ANN	1/12/02	14	20	LMB	140	5.511811024	26.88245806	0.059265605
ANN	1/12/02	14	20	LMB	145	5.708661417	38.91456536	0.085791829
ANN	1/12/02	14	20	LMB	150	5.905511811	66.12392851	0.145778135
ANN	1/12/02	14	20	LMB	165	6.496062992	53.44766781	0.117831797
ANN	1/12/02	14	20	LMB	168	6.614173228	69.49909785	0.153219101
ANN	1/12/02	14	20	LMB	200	7.874015748	112.3453845	0.247678882
ANN	1/12/02	14	20	LMB	207	8.149606299	121.6260082	0.26813913
ANN	1/12/02	14	20	LMB	225	8.858267717	94.80574946	0.209010651
ANN	1/12/02	14	20	LMB	238	9.37007874	222.8273329	0.491249595
ANN	1/12/02	14	20	LMB	249	9.803149606	207.8005593	0.458121269
ANN	1/12/02	14	20	LMB	251	9.881889764	239.6424267	0.528320487
ANN	1/12/02	14	20	LMB	302	11.88976378	369.4219808	0.814435087
ANN	1/12/02	14	20	LMB	306	12.04724409	499.3693725	1.100919706
ANN	1/12/02	14	20	LMB	329	12.95275591	421.3968618	0.92901995
ANN	1/12/02	14	20	LMB	405	15.94488189	1262.342091	2.782984622
ANN	1/12/02	15	20	LMB	117	4.606299213	19.75036476	0.043542049
ANN	1/12/02	15	20	LMB	123	4.842519685	24.17594094	0.053298763
ANN	1/12/02	15	20	LMB	127	5	27.40156809	0.060410045
ANN	1/12/02	15	20	LMB	154	6.062992126	41.5872929	0.091684178
ANN	1/12/02	15	20	LMB	157	6.181102362	46.77606712	0.103123453
ANN	1/12/02	15	20	LMB	157	6.181102362	42.02729492	0.092654215
ANN	1/12/02	15	20	LMB	158	6.220472441	74.94480817	0.165224823
ANN	1/12/02	15	20	LMB	162	6.377952756	47.7345693	0.105236586
ANN	1/12/02	15	20	LMB	170	6.692913386	58.64083474	0.129280757
ANN	1/12/02	15	20	LMB	173	6.811023622	69.98800643	0.154296959
ANN	1/12/02	15	20	LMB	212	8.346456693	105.6015765	0.232811348
ANN	1/12/02	15	20	LMB	212	8.346456693	130.1554073	0.286943214
ANN	1/12/02	15	20	LMB	227	8.937007874	143.6994843	0.316802757
ANN	1/12/02	15	20	LMB	254	10	176.348526	0.388781487
ANN	1/12/02	15	20	LMB	260	10.23622047	234.1009758	0.516103693
ANN	1/12/02	15	20	LMB	270	10.62992126	315.4405876	0.695426628
ANN	1/12/02	15	20	LMB	315	12.4015748	467.9528138	1.031658132
ANN	1/12/02	15	20	LMB	320	12.5984252	371.7652578	0.819601123
ANN	1/12/02	15	20	LMB	337	13.26771654	418.590378	0.922832719
ANN	1/12/02	16	20	LMB	145	5.708661417	36.0164467	0.079402579
ANN	1/12/02	16	20	LMB	153	6.023622047	39.84004113	0.087832151
ANN	1/12/02	16	20	LMB	165	6.496062992	33.09166649	0.07295455
ANN	1/12/02	16	20	LMB	212	8.346456693	95.27012224	0.210034417
ANN	1/12/02	16	20	LMB	218	8.582677165	168.747402	0.372023897
ANN	1/12/02	16	20	LMB	225	8.858267717	148.2774744	0.326895486
ANN	1/12/02	16	20	LMB	234	9.212598425	229.4740284	0.505903033
ANN	1/12/02	16	20	LMB	236	9.291338583	177.2575725	0.390785589
ANN	1/12/02	16	20	LMB	255	10.03937008	266.4542742	0.587430422
ANN	1/12/02	16	20	LMB	262	10.31496063	192.1331358	0.423580554
